Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2024-100000,05/28/2024,05/31/2024,Second Class,CG-10367,Matt Wilson,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FUR-10000001,Furniture,Furnishings,Furnishings Model B-137,116.48,1,0.0,29.83
2,CA-2023-100001,02/06/2023,02/11/2023,Second Class,CG-10189,Harold Pawel,Consumer,United States,Atlanta,Georgia,30318,South,OFF-SUP-10000002,Office Supplies,Supplies,Supplies Model C-174,502.8,3,0.0,-20.9
3,CA-2021-100001,09/30/2021,10/04/2021,Standard Class,CG-10782,Sarah Kintis,Corporate,United States,Newark,New Jersey,07102,East,OFF-STO-10000003,Office Supplies,Storage,Storage Model D-211,313.25,1,0.0,41.18
4,CA-2024-100002,05/30/2024,05/31/2024,First Class,CG-10543,Tracy Davis,Consumer,United States,Boston,Massachusetts,02116,East,OFF-SUP-10000004,Office Supplies,Supplies,Supplies Model E-248,431.02,2,0.0,37.65
5,CA-2021-100002,11/22/2021,11/22/2021,Same Day,CG-10662,Matt Rodriguez,Consumer,United States,Richmond,Virginia,23223,South,OFF-SUP-10000005,Office Supplies,Supplies,Supplies Model F-285,39.4,1,0.0,-0.63
6,CA-2021-100003,11/11/2021,11/14/2021,Second Class,CG-10406,Jessica Phan,Corporate,United States,Baltimore,Maryland,21215,East,OFF-BIN-10000006,Office Supplies,Binders,Binders Model G-322,316.89,3,0.0,-19.5
7,CA-2021-100003,05/09/2021,05/12/2021,First Class,CG-10185,Brosina Kintis,Consumer,United States,Buffalo,New York,14215,East,FUR-CHA-10000007,Furniture,Chairs,Chairs Model H-359,456.36,1,0.0,75.86
8,CA-2023-100004,07/26/2023,08/02/2023,Standard Class,CG-10065,Alejandro Wilson,Corporate,United States,San Francisco,California,94109,West,OFF-STO-10000008,Office Supplies,Storage,Storage Model I-396,363.24,4,0.0,53.12
9,CA-2023-100004,10/12/2023,10/17/2023,Standard Class,CG-10586,Brosina Pawel,Home Office,United States,Boston,Massachusetts,02116,East,FUR-TAB-10000009,Furniture,Tables,Tables Model J-433,5044.64,4,0.0,-355.01
10,CA-2023-100005,04/02/2023,04/07/2023,Standard Class,CG-10468,Pete Kintis,Consumer,United States,Seattle,Washington,98103,West,OFF-SUP-10000010,Office Supplies,Supplies,Supplies Model K-470,134.35,1,0.0,15.14
11,CA-2021-100005,11/24/2021,11/28/2021,Second Class,CG-10727,Pete Davis,Consumer,United States,San Antonio,Texas,78207,Central,TEC-PHO-10000011,Technology,Phones,Phones Model L-507,766.17,3,0.0,288.38
12,CA-2023-100006,07/16/2023,07/20/2023,Standard Class,CG-10116,Zuschuss Anderson,Corporate,United States,Phoenix,Arizona,85023,West,TEC-PHO-10000012,Technology,Phones,Phones Model M-544,376.7,2,0.0,112.88
13,CA-2024-100006,08/19/2024,08/20/2024,First Class,CG-10762,Brosina Garcia,Consumer,United States,Denver,Colorado,80219,West,FUR-TAB-10000013,Furniture,Tables,Tables Model N-581,1192.41,3,0.0,116.28
14,CA-2021-100007,03/16/2021,03/16/2021,Same Day,CG-10123,Emily Ballentine,Consumer,United States,Seattle,Washington,98103,West,OFF-LAB-10000014,Office Supplies,Labels,Labels Model O-618,6.75,2,0.15,1.75
15,CA-2022-100007,07/17/2022,07/22/2022,Standard Class,CG-10709,John Anderson,Consumer,United States,Portland,Oregon,97201,West,OFF-APP-10000015,Office Supplies,Appliances,Appliances Model P-655,868.05,3,0.0,260.44
16,CA-2024-100008,12/18/2024,12/19/2024,First Class,CG-10601,Claire Black,Corporate,United States,Los Angeles,California,90036,West,TEC-ACC-10000016,Technology,Accessories,Accessories Model Q-692,232.92,3,0.0,81.85
17,CA-2022-100008,11/22/2022,11/28/2022,Standard Class,CG-10547,Matt Brown,Consumer,United States,Denver,Colorado,80219,West,OFF-LAB-10000017,Office Supplies,Labels,Labels Model R-729,62.2,2,0.0,30.4
18,CA-2023-100009,04/21/2023,04/28/2023,Standard Class,CG-10555,Ken Jones,Consumer,United States,Dallas,Texas,75220,Central,FUR-TAB-10000018,Furniture,Tables,Tables Model S-766,1570.34,2,0.3,-596.59
19,CA-2024-100009,12/21/2024,12/28/2024,Standard Class,CG-10202,Ashley Jones,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-APP-10000019,Office Supplies,Appliances,Appliances Model T-803,1547.83,9,0.1,191.73
20,CA-2022-100010,11/21/2022,11/26/2022,Standard Class,CG-10383,John Black,Consumer,United States,Denver,Colorado,80219,West,FUR-BOO-10000020,Furniture,Bookcases,Bookcases Model U-840,452.01,3,0.0,42.74
21,CA-2022-100010,02/27/2022,03/04/2022,Standard Class,CG-10680,Pete Pawel,Consumer,United States,San Francisco,California,94109,West,FUR-BOO-10000021,Furniture,Bookcases,Bookcases Model V-877,342.72,2,0.0,-2.32
22,CA-2024-100011,03/13/2024,03/17/2024,Second Class,CG-10097,Sarah Rodriguez,Home Office,United States,Phoenix,Arizona,85023,West,OFF-ENV-10000022,Office Supplies,Envelopes,Envelopes Model W-914,25.22,1,0.0,11.27
23,CA-2023-100011,10/20/2023,10/27/2023,Standard Class,CG-10560,John Hoffman,Consumer,United States,Minneapolis,Minnesota,55407,Central,TEC-COP-10000023,Technology,Copiers,Copiers Model X-951,2694.58,1,0.0,1071.79
24,CA-2021-100012,02/27/2021,03/04/2021,Standard Class,CG-10679,Maria Brown,Consumer,United States,Denver,Colorado,80219,West,FUR-FUR-10000024,Furniture,Furnishings,Furnishings Model Y-988,623.34,6,0.0,106.65
25,CA-2022-100012,08/24/2022,08/28/2022,Standard Class,CG-10435,Jessica Brown,Corporate,United States,Louisville,Kentucky,40214,South,OFF-STO-10000025,Office Supplies,Storage,Storage Model Z-1025,354.96,3,0.0,68.94
26,CA-2023-100013,06/24/2023,06/26/2023,First Class,CG-10566,James Johnson,Corporate,United States,Seattle,Washington,98103,West,OFF-ART-10000026,Office Supplies,Art,Art Model A-1062,154.05,5,0.0,61.81
27,CA-2021-100013,02/09/2021,02/15/2021,Standard Class,CG-10625,Emily Wilson,Consumer,United States,Portland,Oregon,97201,West,TEC-MAC-10000027,Technology,Machines,Machines Model B-100,1196.7,1,0.0,-103.65
28,CA-2022-100014,10/11/2022,10/18/2022,Standard Class,CG-10543,Tracy Davis,Consumer,United States,Richmond,Virginia,23223,South,OFF-SUP-10000028,Office Supplies,Supplies,Supplies Model C-137,438.78,2,0.0,-18.01
29,CA-2021-100014,05/11/2021,05/15/2021,Second Class,CG-10536,Maria Black,Consumer,United States,Denver,Colorado,80219,West,OFF-APP-10000029,Office Supplies,Appliances,Appliances Model D-174,1882.08,8,0.0,632.56
30,CA-2021-100015,07/30/2021,07/30/2021,Same Day,CG-10645,Jessica Johnson,Corporate,United States,Charlotte,North Carolina,28205,South,OFF-STO-10000030,Office Supplies,Storage,Storage Model E-211,215.3,2,0.0,37.59
31,CA-2021-100015,06/05/2021,06/09/2021,Standard Class,CG-10276,James Anderson,Corporate,United States,Buffalo,New York,14215,East,OFF-FAS-10000031,Office Supplies,Fasteners,Fasteners Model F-248,32.64,4,0.0,11.7
32,CA-2021-100016,09/30/2021,10/06/2021,Standard Class,CG-10661,Sarah Johnson,Consumer,United States,Los Angeles,California,90036,West,TEC-MAC-10000032,Technology,Machines,Machines Model G-285,741.66,1,0.2,-237.37
33,CA-2021-100016,05/04/2021,05/11/2021,Standard Class,CG-10200,Jessica Barstow,Home Office,United States,San Antonio,Texas,78207,Central,TEC-COP-10000033,Technology,Copiers,Copiers Model H-322,618.97,2,0.7,-317.74
34,CA-2022-100017,10/03/2022,10/09/2022,Standard Class,CG-10653,Jessica Anderson,Consumer,United States,Los Angeles,California,90036,West,OFF-ART-10000034,Office Supplies,Art,Art Model I-359,164.39,4,0.15,18.01
35,CA-2022-100017,05/16/2022,05/21/2022,Standard Class,CG-10611,William Blumstein,Consumer,United States,Dallas,Texas,75220,Central,TEC-PHO-10000035,Technology,Phones,Phones Model J-396,911.29,1,0.0,320.47
36,CA-2023-100018,08/05/2023,08/08/2023,Second Class,CG-10082,Sarah Williams,Home Office,United States,Memphis,Tennessee,38109,South,OFF-FAS-10000036,Office Supplies,Fasteners,Fasteners Model K-433,20.31,2,0.6,-10.35
37,CA-2022-100018,11/09/2022,11/16/2022,Standard Class,CG-10436,Daniel Williams,Home Office,United States,Denver,Colorado,80219,West,OFF-PAP-10000037,Office Supplies,Paper,Paper Model L-470,26.56,1,0.0,11.04
38,CA-2023-100019,09/15/2023,09/19/2023,Second Class,CG-10067,Alejandro Martinez,Consumer,United States,Baltimore,Maryland,21215,East,TEC-MAC-10000038,Technology,Machines,Machines Model M-507,3133.34,2,0.2,-886.39
39,CA-2022-100019,10/03/2022,10/07/2022,Standard Class,CG-10493,Matt Brown,Consumer,United States,Portland,Oregon,97201,West,OFF-FAS-10000039,Office Supplies,Fasteners,Fasteners Model N-544,101.56,4,0.0,38.89
40,CA-2021-100020,12/09/2021,12/16/2021,Standard Class,CG-10300,Andrew Gutenberg,Consumer,United States,Baltimore,Maryland,21215,East,OFF-FAS-10000040,Office Supplies,Fasteners,Fasteners Model O-581,13.41,2,0.1,3.47
